Symbol,Price,Type,Strike,"Exp Date",DTE,Bid,Midpoint,Ask,Last,Volume,"Open Int",Vol/OI,IV,Time
UTX,108.9,Call,110.00,02/15/19,38,3.40,3.6,3.80,3.40,3250,497,6.54,26.79%,01/08/19
UTX,108.9,Put,100.00,02/15/19,38,1.30,1.41,1.52,1.40,3095,475,6.52,34.42%,01/08/19
ADBE,232.68,Call,240.00,02/15/19,38,6.90,7.1,7.30,7.37,1441,223,6.46,34.01%,01/08/19
BA,340.53,Put,335.00,01/11/19,3,2.43,2.58,2.72,2.51,1472,230,6.4,39.33%,01/08/19
MS,41.45,Call,45.00,03/15/19,66,0.79,0.82,0.84,0.79,1464,229,6.39,27.78%,01/08/19
LRCX,136.93,Put,120.00,01/11/19,3,0.00,0.04,0.08,0.08,815,128,6.37,74.17%,01/08/19
ROKU,40.88,Call,42.00,01/11/19,3,0.83,0.9,0.97,0.89,3761,590,6.37,91.73%,01/08/19
BABA,146.79,Call,160.00,02/08/19,31,2.53,2.62,2.71,2.69,674,108,6.24,41.57%,01/08/19
AAPL,150.75,Put,150.00,01/11/19,3,1.60,1.62,1.64,1.60,15507,2484,6.24,36.20%,01/08/19
BABA,146.79,Put,130.00,02/01/19,24,1.48,1.53,1.58,1.55,4898,798,6.14,49.66%,01/08/19
AMZN,1656.58,Call,1725.00,01/11/19,3,3.00,3.8,4.60,4.37,1043,171,6.1,40.72%,01/08/19
ROKU,40.88,Call,40.00,01/11/19,3,1.73,1.82,1.90,1.86,5736,949,6.04,93.66%,01/08/19
PBR,15.2,Call,18.00,02/22/19,45,0.17,0.19,0.21,0.20,2250,375,6,45.13%,01/08/19
ETM,6.88,Put,6.00,06/21/19,164,0.50,0.58,0.65,0.61,647,108,5.99,60.05%,01/08/19
LB,28.2,Put,27.00,01/11/19,3,0.30,0.38,0.45,0.40,885,148,5.98,87.60%,01/08/19
SQ,63.12,Put,62.00,01/11/19,3,0.95,0.96,0.96,0.95,1162,195,5.96,63.98%,01/08/19
CNXM,17.83,Call,20.00,03/15/19,66,0.05,0.1,0.15,0.10,851,144,5.91,21.68%,01/08/19
SQ,63.12,Call,63.00,01/11/19,3,1.43,1.48,1.52,1.50,3407,577,5.9,62.77%,01/08/19
CLF,8.56,Call,5.00,01/25/19,17,3.50,3.58,3.65,3.60,600,102,5.88,143.36%,01/08/19
T,31.28,Call,29.00,01/18/19,10,2.22,2.27,2.31,2.27,31304,5326,5.88,13.58%,01/08/19
