Symbol,Price,Type,Strike,"Exp Date",DTE,Bid,Midpoint,Ask,Last,Volume,"Open Int",Vol/OI,IV,Time
NFLX,315.34,Put,297.50,01/11/19,4,2.10,2.5,2.89,2.48,1017,101,10.07,67.60%,01/07/19
PEGI,19.78,Call,20.00,01/18/19,11,0.35,0.43,0.50,0.40,3386,346,9.79,35.92%,01/07/19
USFD,33.16,Put,30.00,02/15/19,39,0.35,0.53,0.70,0.60,1875,192,9.77,43.17%,01/07/19
AMZN,1629.51,Call,1720.00,01/11/19,4,4.00,4.33,4.65,4.47,1063,110,9.66,43.54%,01/07/19
SQ,60.72,Put,60.00,01/11/19,4,1.33,1.36,1.38,1.37,3206,334,9.6,68.04%,01/07/19
AMZN,1629.51,Call,1670.00,01/11/19,4,13.10,13.65,14.20,13.60,987,103,9.58,42.61%,01/07/19
TLRY,71.9,Put,40.00,06/21/19,165,5.60,6.48,7.35,6.05,1001,105,9.53,126.04%,01/07/19
DAL,47.85,Call,50.50,01/11/19,4,0.07,0.08,0.09,0.08,1066,112,9.52,37.94%,01/07/19
AMZN,1629.51,Call,1630.00,01/11/19,4,29.35,29.9,30.45,30.00,2015,213,9.46,44.06%,01/07/19
DG,112.94,Put,110.00,02/15/19,39,2.55,2.65,2.75,2.61,1038,111,9.35,27.87%,01/07/19
NXPI,76.01,Call,80.00,01/11/19,4,0.23,0.34,0.44,0.35,1040,112,9.29,49.56%,01/07/19
CP,184.15,Call,195.00,01/18/19,11,0.40,0.6,0.80,0.50,2502,270,9.27,27.07%,01/07/19
MOMO,26.22,Put,22.50,02/15/19,39,0.65,0.7,0.75,0.70,1016,110,9.24,65.37%,01/07/19
M,29.91,Put,28.50,01/11/19,4,0.49,0.51,0.53,0.48,1129,124,9.1,85.25%,01/07/19
USB,46.61,Put,45.50,01/18/19,11,0.47,0.5,0.53,0.40,3011,338,8.91,26.82%,01/07/19
NVDA,143.4,Call,155.00,01/11/19,4,0.60,0.63,0.66,0.64,6449,732,8.81,64.86%,01/07/19
TWLO,96.98,Call,100.00,01/11/19,4,1.83,1.94,2.04,1.83,1103,126,8.75,75.33%,01/07/19
CVS,68.61,Call,80.00,08/16/19,221,1.97,2.06,2.14,2.10,894,103,8.68,25.30%,01/07/19
TWTR,31.34,Put,30.50,01/18/19,11,0.78,0.8,0.82,0.83,966,112,8.63,56.78%,01/07/19
TEVA,17.67,Put,13.00,01/15/21,739,1.90,2.09,2.28,1.90,1903,225,8.46,49.22%,01/07/19
NFLX,315.34,Call,325.00,01/11/19,4,4.30,4.48,4.65,4.45,7176,864,8.31,62.65%,01/07/19
NFLX,315.34,Put,250.00,01/25/19,18,1.43,3.22,5.00,2.92,917,111,8.26,86.55%,01/07/19
PSX,91.47,Call,95.00,02/15/19,39,2.05,2.23,2.40,2.15,2578,314,8.21,29.11%,01/07/19
NFLX,315.34,Call,315.00,01/11/19,4,7.95,8.25,8.55,8.53,8919,1086,8.21,63.13%,01/07/19
TWTR,31.34,Call,32.00,01/11/19,4,0.44,0.46,0.47,0.45,5243,642,8.17,55.15%,01/07/19
GE,8.74,Put,8.50,02/01/19,25,0.44,0.45,0.46,0.46,1209,149,8.11,64.55%,01/07/19
GE,8.74,Put,9.00,01/11/19,4,0.36,0.38,0.39,0.38,3234,399,8.11,61.81%,01/07/19
GE,8.74,Call,10.50,01/11/19,4,0.00,0.01,0.02,0.01,810,100,8.1,91.77%,01/07/19
NFLX,315.34,Call,335.00,01/11/19,4,2.11,2.22,2.33,2.15,1875,235,7.98,63.51%,01/07/19
ROKU,42.18,Call,38.00,01/11/19,4,4.15,4.45,4.75,4.64,1203,152,7.91,109.35%,01/07/19
MPC,62.26,Call,65.00,02/15/19,39,1.97,2.06,2.15,2.11,6844,868,7.88,38.89%,01/07/19
NFLX,315.34,Call,320.00,01/11/19,4,6.10,6.2,6.30,6.33,8093,1033,7.83,63.43%,01/07/19
CGC,28.9,Call,34.00,01/18/19,11,0.13,0.15,0.17,0.15,2014,258,7.81,68.59%,01/07/19
SIG,34.97,Call,40.00,04/18/19,101,2.55,2.83,3.10,3.00,1248,160,7.8,64.27%,01/07/19
ZTS,85.27,Call,87.50,02/15/19,39,2.25,2.43,2.60,2.88,1073,138,7.78,33.59%,01/07/19
MDRX,10.45,Call,10.00,01/18/19,11,0.60,0.68,0.75,0.60,3309,439,7.54,45.15%,01/07/19
WFC,47.64,Put,47.00,01/11/19,4,0.35,0.38,0.40,0.35,3494,465,7.51,31.57%,01/07/19
NKE,75.72,Put,72.00,01/18/19,11,0.40,0.44,0.47,0.43,1624,220,7.38,33.05%,01/07/19
EL,131.5,Call,140.00,04/18/19,101,4.70,4.85,5.00,4.74,2520,342,7.37,27.79%,01/07/19
NVDA,143.4,Put,140.00,01/11/19,4,2.35,2.42,2.49,2.35,1845,253,7.29,64.72%,01/07/19
TSLA,334.96,Call,350.00,01/11/19,4,2.50,2.55,2.60,2.60,9080,1252,7.25,55.44%,01/07/19
TSLA,334.96,Put,330.00,01/11/19,4,5.65,5.83,6.00,5.70,2416,335,7.21,57.48%,01/07/19
PBR,15.06,Put,19.00,01/18/19,11,3.90,3.95,4.00,4.00,1685,234,7.2,89.10%,01/07/19
NFLX,315.34,Put,295.00,01/11/19,4,1.61,1.95,2.28,2.08,3270,454,7.2,68.74%,01/07/19
SQ,60.72,Call,61.00,01/18/19,11,2.51,2.55,2.59,2.52,1414,197,7.18,62.48%,01/07/19
INVA,18.51,Call,20.00,03/15/19,67,0.80,0.83,0.85,0.80,1169,163,7.17,42.19%,01/07/19
V,136.06,Put,128.00,01/18/19,11,0.52,0.61,0.69,0.61,1639,231,7.1,34.39%,01/07/19
GE,8.74,Call,10.00,01/11/19,4,0.01,0.02,0.02,0.02,4232,598,7.08,81.80%,01/07/19
AMD,20.57,Put,20.00,01/11/19,4,0.57,0.58,0.59,0.59,12205,1740,7.01,100.08%,01/07/19
AMZN,1629.51,Call,1675.00,01/11/19,4,12.00,12.4,12.80,12.40,781,112,6.97,42.91%,01/07/19
MU,34,Call,36.00,01/11/19,4,0.16,0.17,0.18,0.18,3281,472,6.95,55.89%,01/07/19
MU,34,Put,32.50,01/18/19,11,0.67,0.69,0.71,0.67,3140,453,6.93,56.22%,01/07/19
LW,70.55,Call,75.00,02/15/19,39,0.90,1,1.10,1.05,906,131,6.92,27.86%,01/07/19
TWTR,31.34,Call,33.00,01/11/19,4,0.18,0.2,0.21,0.19,1239,180,6.88,55.10%,01/07/19
SCHW,42.74,Put,42.00,06/21/19,165,2.75,2.88,3.00,3.30,1500,219,6.85,34.77%,01/07/19
AMZN,1629.51,Put,1570.00,01/11/19,4,9.70,10.03,10.35,10.00,1323,194,6.82,46.81%,01/07/19
AMZN,1629.51,Call,1650.00,01/11/19,4,19.95,20.48,21.00,20.60,5186,761,6.81,43.10%,01/07/19
SNAP,6.21,Put,7.00,03/15/19,67,1.20,1.22,1.23,1.22,837,123,6.8,70.31%,01/07/19
